algo,size,trial,time(ms),comparisons,operations,maxDepth
mergesort,10000,1,5,120187,129163,11
mergesort,10000,1,7,120241,129217,11
mergesort,10000,1,3,120077,129053,11
mergesort,10000,1,3,119643,128619,11
mergesort,10000,1,4,120147,129123,11
quicksort,10000,1,12,145765,89562,9
quicksort,10000,1,7,151050,79872,9
quicksort,10000,1,3,157708,87046,10
quicksort,10000,1,1,151891,91557,9
quicksort,10000,1,1,157678,87010,10
select,10000,1,3,19981,9580,12
select,10000,1,2,20056,9946,14
select,10000,1,1,20334,10001,15
select,10000,1,1,19927,9831,14
select,10000,1,1,20092,9993,12
closest,10000,1,49,13638,0,13
closest,10000,1,23,13559,0,13
closest,10000,1,25,13589,0,13
closest,10000,1,27,13644,0,13
closest,10000,1,32,13625,0,13
